work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Analytics Engineering Manager,Leadership and Management,GBP,325000,399880,United Kingdom,Senior,Full-time,Hybrid,United Kingdom,L
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000,United States,Senior,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,202800,202800,United States,Senior,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,104300,104300,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,261500,261500,United States,Senior,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,134500,134500,United States,Senior,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,202800,202800,United States,Senior,Full-time,In-person,United States,L
2023,Business Intelligence Engineer,BI and Visualization,USD,104300,104300,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,BI Developer,BI and Visualization,USD,160000,160000,United States,Senior,Full-time,Remote,Japan,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Product Data Analyst,Data Analysis,USD,57000,57000,Georgia,Senior,Full-time,Remote,Russia,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Principal Data Scientist,Data Science and Research,EUR,80000,86374,Spain,Senior,Full-time,Remote,Spain,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,309400,309400,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,159100,159100,United States,Senior,Full-time,In-person,United States,L
2023,Data Analyst,Data Analysis,USD,202800,202800,United States,Senior,Full-time,In-person,United States,L
2023,Data Analyst,Data Analysis,USD,104300,104300,United States,Senior,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,342300,342300,United States,Senior,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,176100,176100,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,309400,309400,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,159100,159100,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,239000,239000,United States,Senior,Full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,USD,122900,122900,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,EUR,84000,88256,Spain,Senior,Full-time,Remote,United Kingdom,L
2023,Data Engineer,Data Engineering,USD,240500,240500,United States,Senior,Full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,123700,123700,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,260000,260000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2022,Lead Data Scientist,Data Science and Research,EUR,164000,172309,Ireland,Senior,Full-time,Remote,Ireland,L
2023,Data Engineer,Data Engineering,USD,205600,205600,United States,Senior,Full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,105700,105700,United States,Senior,Full-time,In-person,United States,L
2023,Cloud Database Engineer,Cloud and Database,USD,170000,170000,United States,Senior,Full-time,Remote,United States,L
2023,Applied Machine Learning Scientist,Machine Learning and AI,USD,90000,90000,United States,Senior,Full-time,Remote,United States,L
2023,Applied Scientist,Data Science and Research,USD,222200,222200,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,136000,136000,United States,Senior,Full-time,In-person,United States,L
2022,BI Developer,BI and Visualization,USD,130000,130000,United States,Senior,Full-time,Remote,United States,L
2023,Deep Learning Researcher,Machine Learning and AI,EUR,115000,124163,Germany,Senior,Full-time,In-person,Germany,L
2023,Head of Data,Leadership and Management,EUR,70000,75577,Portugal,Senior,Full-time,Remote,Portugal,L
2022,Lead Data Scientist,Data Science and Research,USD,192000,192000,United States,Senior,Full-time,Remote,United States,L
2023,Big Data Architect,Data Architecture and Modeling,GBP,124999,153799,United Kingdom,Senior,Full-time,Remote,United Kingdom,L
2023,Computer Vision Software Engineer,Machine Learning and AI,EUR,50000,53984,Netherlands,Senior,Full-time,Remote,Canada,L
2023,Azure Data Engineer,Data Engineering,USD,100000,100000,Netherlands,Senior,Full-time,Hybrid,Netherlands,L
2023,Applied Scientist,Data Science and Research,USD,350000,350000,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,262500,262500,United States,Senior,Full-time,In-person,United States,L
2023,Data Scientist,Data Science and Research,EUR,59000,63701,Cyprus,Senior,Full-time,Hybrid,Estonia,L
2023,Data Engineer,Data Engineering,USD,240500,240500,United States,Senior,Full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,123700,123700,United States,Senior,Full-time,In-person,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,EUR,80000,84053,France,Senior,Full-time,Hybrid,France,L
2023,Data Engineer,Data Engineering,USD,205600,205600,United States,Senior,Full-time,In-person,United States,L
2023,Data Engineer,Data Engineering,USD,105700,105700,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,126100,126100,United States,Senior,Full-time,In-person,United States,L
2023,Applied Scientist,Data Science and Research,USD,72000,72000,United States,Senior,Full-time,In-person,United States,L
2022,Data Analytics Manager,Leadership and Management,USD,133000,133000,Netherlands,Senior,Full-time,In-person,Netherlands,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,261500,261500,United States,Senior,Full-time,In-person,United States,L
2023,Machine Learning Engineer,Machine Learning and AI,USD,134500,134500,United States,Senior,Full-time,In-person,United States,L
2022,Manager Data Management,Leadership and Management,USD,125000,125000,United States,Senior,Full-time,Remote,United States,L
2022,AI Scientist,Machine Learning and AI,USD,125000,125000,Colombia,Senior,Full-time,Remote,Colombia,L
2022,Principal Machine Learning Engineer,Machine Learning and AI,USD,190000,190000,United States,Senior,Full-time,Remote,United States,L
2022,Data Analyst,Data Analysis,USD,171000,171000,United States,Senior,Full-time,Remote,Australia,L
2022,Data Engineer,Data Engineering,USD,230000,230000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,154600,154600,United States,Senior,Full-time,In-person,United States,L
2022,Data Management Specialist,Data Management and Strategy,EUR,65000,68293,Italy,Senior,Full-time,In-person,Italy,L
2022,Data Science Tech Lead,Data Science and Research,USD,375000,375000,United States,Senior,Full-time,Hybrid,United States,L
2022,Data Scientist,Data Science and Research,USD,198440,198440,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,144000,144000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,202800,202800,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,104300,104300,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,205600,205600,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,105700,105700,United States,Senior,Full-time,In-person,United States,L
2022,Lead Data Scientist,Data Science and Research,USD,156868,156868,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,198440,198440,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,144000,144000,United States,Senior,Full-time,In-person,United States,L
2022,Lead Machine Learning Engineer,Machine Learning and AI,EUR,66000,69344,Portugal,Senior,Full-time,Remote,Portugal,L
2022,Data Engineer,Data Engineering,USD,178800,178800,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,132100,132100,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,229998,229998,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,154545,154545,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,215000,215000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,159000,159000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,229998,229998,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,154545,154545,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist Lead,Data Science and Research,USD,183000,183000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,236900,236900,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,159200,159200,United States,Senior,Full-time,Remote,United States,L
2022,ML Engineer,Machine Learning and AI,USD,195400,195400,United States,Senior,Full-time,Remote,United States,L
2022,ML Engineer,Machine Learning and AI,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Data Architect,Data Architecture and Modeling,USD,195400,195400,United States,Senior,Full-time,Remote,United States,L
2022,Data Architect,Data Architecture and Modeling,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,195400,195400,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Data Architect,Data Architecture and Modeling,USD,195400,195400,United States,Senior,Full-time,Remote,United States,L
2022,Data Architect,Data Architecture and Modeling,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,178800,178800,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,132100,132100,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,180000,180000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,165000,165000,United States,Senior,Full-time,Remote,United States,L
2022,Applied Machine Learning Scientist,Machine Learning and AI,USD,108000,108000,United States,Senior,Full-time,In-person,United States,L
2022,Director of Data Science,Data Science and Research,EUR,55000,57786,France,Senior,Full-time,Hybrid,France,L
2022,Data Analyst,Data Analysis,USD,115000,115000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,119300,119300,United States,Senior,Full-time,In-person,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,200000,200000,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,150000,150000,United States,Senior,Full-time,Remote,United States,L
2022,Data Science Manager,Data Science and Research,USD,189500,189500,United States,Senior,Full-time,Remote,United States,L
2022,Data Science Manager,Data Science and Research,USD,140100,140100,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,177600,177600,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,202900,202900,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,180000,180000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,140000,140000,United States,Senior,Full-time,Remote,United States,L
2021,Cloud Data Architect,Data Architecture and Modeling,USD,250000,250000,United States,Senior,Full-time,Hybrid,United States,L
2022,Applied Machine Learning Scientist,Machine Learning and AI,EUR,73400,77119,France,Senior,Full-time,Remote,United Kingdom,L
2022,Data Engineer,Data Engineering,USD,100000,100000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,80000,80000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,100000,100000,United States,Senior,Full-time,In-person,United States,L
2022,Data Specialist,Data Management and Strategy,USD,221300,221300,United States,Senior,Full-time,Remote,United States,L
2022,Data Specialist,Data Management and Strategy,USD,148700,148700,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,92000,92000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,119300,119300,United States,Senior,Full-time,In-person,United States,L
2022,Business Data Analyst,Data Analysis,USD,100000,100000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,160000,160000,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,92000,92000,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,202900,202900,United States,Senior,Full-time,Remote,United States,L
2022,Machine Learning Engineer,Machine Learning and AI,USD,131300,131300,United States,Senior,Full-time,Remote,United States,L
2022,Data Science Manager,Data Science and Research,AUD,193000,133766,Australia,Senior,Full-time,Remote,Australia,L
2022,Data Scientist,Data Science and Research,USD,215300,215300,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,158200,158200,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,209100,209100,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,154600,154600,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,183600,183600,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,100800,100800,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,215300,215300,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,140400,140400,United States,Senior,Full-time,In-person,United States,L
2022,Data Science Engineer,Data Science and Research,USD,60000,60000,Argentina,Senior,Full-time,Remote,Mexico,L
2022,Data Scientist,Data Science and Research,USD,180000,180000,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,120000,120000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,160000,160000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,113000,113000,United States,Senior,Full-time,In-person,United States,L
2022,Data Engineer,Data Engineering,USD,209100,209100,United States,Senior,Full-time,Remote,United States,L
2022,Data Engineer,Data Engineering,USD,154600,154600,United States,Senior,Full-time,Remote,United States,L
2022,Data Scientist,Data Science and Research,USD,205300,205300,United States,Senior,Full-time,In-person,United States,L
2022,Data Scientist,Data Science and Research,USD,140400,140400,United States,Senior,Full-time,In-person,United States,L
2020,Machine Learning Manager,Machine Learning and AI,CAD,157000,117104,Canada,Senior,Full-time,Hybrid,Canada,L
2021,Head of Data,Leadership and Management,EUR,87000,102839,Slovenia,Senior,Full-time,Remote,Slovenia,L
2022,Machine Learning Engineer,Machine Learning and AI,EUR,57000,59888,Netherlands,Senior,Full-time,Remote,Netherlands,L
2022,Research Scientist,Data Science and Research,EUR,85000,89306,France,Senior,Full-time,Hybrid,France,L
2022,Data Analytics Lead,Leadership and Management,USD,405000,405000,United States,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,150000,150000,United States,Senior,Full-time,In-person,United States,L
2021,Data Science Manager,Data Science and Research,USD,240000,240000,United States,Senior,Full-time,In-person,United States,L
2022,Applied Data Scientist,Data Science and Research,USD,380000,380000,United States,Senior,Full-time,Remote,United States,L
2022,Applied Data Scientist,Data Science and Research,USD,177000,177000,United States,Senior,Full-time,Remote,United States,L
2021,Principal Data Scientist,Data Science and Research,USD,220000,220000,United States,Senior,Full-time,In-person,United States,L
2022,Research Scientist,Data Science and Research,USD,144000,144000,United States,Senior,Full-time,Hybrid,United States,L
2020,Data Scientist,Data Science and Research,EUR,60000,68428,Greece,Senior,Full-time,Remote,United States,L
2021,Data Science Engineer,Data Science and Research,CAD,159500,127221,Canada,Senior,Full-time,Hybrid,Canada,L
2021,Data Science Manager,Data Science and Research,USD,144000,144000,United States,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,153000,153000,United States,Senior,Full-time,Remote,United States,L
2021,Data Analytics Engineer,Leadership and Management,EUR,67000,79197,Germany,Senior,Full-time,Remote,Germany,L
2021,Lead Data Analyst,Data Analysis,USD,170000,170000,United States,Senior,Full-time,Remote,United States,L
2021,Data Scientist,Data Science and Research,EUR,45000,53192,France,Senior,Full-time,Hybrid,France,L
2021,Marketing Data Analyst,Data Analysis,EUR,75000,88654,Greece,Senior,Full-time,Remote,Denmark,L
2021,Machine Learning Engineer,Machine Learning and AI,EUR,80000,94564,Germany,Senior,Full-time,Hybrid,Germany,L
2021,Data Engineer,Data Engineering,USD,150000,150000,United States,Senior,Full-time,Remote,United States,L
2021,Lead Data Engineer,Data Engineering,USD,276000,276000,United States,Senior,Full-time,In-person,United States,L
2020,Data Engineer,Data Engineering,USD,188000,188000,United States,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,174000,174000,United States,Senior,Full-time,Remote,United States,L
2021,Research Scientist,Data Science and Research,EUR,51400,60757,Portugal,Senior,Full-time,Hybrid,Portugal,L
2021,Data Engineer,Data Engineering,GBP,70000,96282,United Kingdom,Senior,Full-time,Hybrid,United Kingdom,L
2021,Data Scientist,Data Science and Research,USD,165000,165000,United States,Senior,Full-time,Remote,United States,L
2021,Data Scientist,Data Science and Research,CAD,130000,103691,Canada,Senior,Full-time,Remote,Canada,L
2021,Data Analyst,Data Analysis,USD,200000,200000,United States,Senior,Full-time,Remote,United States,L
2021,Data Engineer,Data Engineering,USD,200000,200000,United States,Senior,Full-time,Remote,United States,L
2021,Machine Learning Engineer,Machine Learning and AI,USD,185000,185000,United States,Senior,Full-time,Hybrid,United States,L
2020,Machine Learning Engineer,Machine Learning and AI,USD,150000,150000,United States,Senior,Full-time,Hybrid,United States,L
2021,Data Scientist,Data Science and Research,TRY,180000,20171,Turkey,Senior,Full-time,Hybrid,Turkey,L
2021,AI Scientist,Machine Learning and AI,USD,55000,55000,Spain,Senior,Full-time,Remote,Spain,L
2021,Data Analyst,Data Analysis,EUR,54000,63831,Germany,Senior,Full-time,Hybrid,Germany,L
2021,Data Scientist,Data Science and Research,USD,135000,135000,United States,Senior,Full-time,In-person,United States,L
2021,Research Scientist,Data Science and Research,CAD,120500,96113,Canada,Senior,Full-time,Hybrid,Canada,L
2021,Data Science Manager,Data Science and Research,USD,174000,174000,United States,Senior,Full-time,Remote,United States,L
2021,Machine Learning Scientist,Machine Learning and AI,USD,225000,225000,United States,Senior,Full-time,Remote,Canada,L
2020,Data Engineer,Data Engineering,EUR,42000,47899,Greece,Senior,Full-time,Hybrid,Greece,L
2021,Data Analytics Manager,Leadership and Management,USD,120000,120000,United States,Senior,Full-time,In-person,United States,L
2021,Machine Learning Engineer,Machine Learning and AI,USD,200000,200000,United States,Senior,Full-time,Remote,United States,L
2021,Principal Data Engineer,Data Engineering,USD,185000,185000,United States,Senior,Full-time,Remote,United States,L
2021,Data Analytics Manager,Leadership and Management,USD,140000,140000,United States,Senior,Full-time,Remote,United States,L
2020,Data Scientist,Data Science and Research,USD,120000,120000,United States,Senior,Full-time,Hybrid,United States,L
2021,Finance Data Analyst,Data Analysis,GBP,45000,61896,United Kingdom,Senior,Full-time,Hybrid,United Kingdom,L
2021,Data Science Manager,Data Science and Research,USD,152000,152000,United States,Senior,Full-time,Remote,France,L
2021,Principal Data Scientist,Data Science and Research,USD,235000,235000,United States,Senior,Full-time,Remote,United States,L
2021,Data Specialist,Data Management and Strategy,USD,165000,165000,United States,Senior,Full-time,Remote,United States,L
2020,Data Scientist,Data Science and Research,USD,412000,412000,United States,Senior,Full-time,Remote,United States,L
